,tile_ID,geometry,position
96,96,"POLYGON ((-77.04792967727045 38.88259471736445, -77.04792967727045 38.88958716372352, -77.03894652442925 38.88958716372352, -77.03894652442925 38.88259471736445, -77.04792967727045 38.88259471736445))","[8,16]"
97,97,"POLYGON ((-77.04792967727045 38.88958716372352, -77.04792967727045 38.89657892182632, -77.03894652442925 38.89657892182632, -77.03894652442925 38.88958716372352, -77.04792967727045 38.88958716372352))","[8,15]"
98,98,"POLYGON ((-77.04792967727045 38.89657892182632, -77.04792967727045 38.90356999163647, -77.03894652442925 38.90356999163647, -77.03894652442925 38.89657892182632, -77.04792967727045 38.89657892182632))","[8,14]"
99,99,"POLYGON ((-77.04792967727045 38.90356999163647, -77.04792967727045 38.91056037311766, -77.03894652442925 38.91056037311766, -77.03894652442925 38.90356999163647, -77.04792967727045 38.90356999163647))","[8,13]"
100,100,"POLYGON ((-77.04792967727045 38.91056037311766, -77.04792967727045 38.917550066233616, -77.03894652442925 38.917550066233616, -77.03894652442925 38.91056037311766, -77.04792967727045 38.91056037311766))","[8,12]"
101,101,"POLYGON ((-77.04792967727045 38.917550066233616, -77.04792967727045 38.92453907094813, -77.03894652442925 38.92453907094813, -77.03894652442925 38.917550066233616, -77.04792967727045 38.917550066233616))","[8,11]"
102,102,"POLYGON ((-77.04792967727045 38.92453907094813, -77.04792967727045 38.93152738722498, -77.03894652442925 38.93152738722498, -77.03894652442925 38.92453907094813, -77.04792967727045 38.92453907094813))","[8,10]"
103,103,"POLYGON ((-77.04792967727045 38.93152738722498, -77.04792967727045 38.938515015028074, -77.03894652442925 38.938515015028074, -77.03894652442925 38.93152738722498, -77.04792967727045 38.93152738722498))","[8,9]"
104,104,"POLYGON ((-77.04792967727045 38.938515015028074, -77.04792967727045 38.94550195432127, -77.03894652442925 38.94550195432127, -77.03894652442925 38.938515015028074, -77.04792967727045 38.938515015028074))","[8,8]"
105,105,"POLYGON ((-77.04792967727045 38.94550195432127, -77.04792967727045 38.95248820506855, -77.03894652442925 38.95248820506855, -77.03894652442925 38.94550195432127, -77.04792967727045 38.94550195432127))","[8,7]"
106,106,"POLYGON ((-77.04792967727045 38.95248820506855, -77.04792967727045 38.959473767233916, -77.03894652442925 38.959473767233916, -77.03894652442925 38.95248820506855, -77.04792967727045 38.95248820506855))","[8,6]"
107,107,"POLYGON ((-77.04792967727045 38.959473767233916, -77.04792967727045 38.96645864078138, -77.03894652442925 38.96645864078138, -77.03894652442925 38.959473767233916, -77.04792967727045 38.959473767233916))","[8,5]"
